Hugo_Symbol	Entrez_Gene_Id	TCGA-CJ-5680	TCGA-CZ-5453	TCGA-CW-5591	TCGA-A3-3387	TCGA-CZ-5982	TCGA-CJ-5679	TCGA-CZ-5984	TCGA-CJ-5681	TCGA-CJ-5672	TCGA-B0-5691	TCGA-CZ-5468	TCGA-CZ-5452	TCGA-B0-5694	TCGA-B0-4700	TCGA-CZ-5455	TCGA-B8-4620	TCGA-B0-5712	TCGA-CW-6087	TCGA-B0-5697	TCGA-B0-5711	TCGA-B0-4712	TCGA-CZ-4864	TCGA-CZ-5985	TCGA-CZ-5451	TCGA-CW-5585	TCGA-CZ-4865	TCGA-CZ-5988	TCGA-CZ-5462	TCGA-CZ-4863	TCGA-CW-5580	TCGA-B8-4619	TCGA-CW-6090	TCGA-CZ-5465	TCGA-CZ-5463	TCGA-B0-5696	TCGA-B2-5641	TCGA-CJ-5689	TCGA-CW-5587	TCGA-CZ-5467	TCGA-CW-6088	TCGA-CW-5589	TCGA-CZ-5986	TCGA-B0-5699	TCGA-B8-5552	TCGA-CJ-5677	TCGA-B0-5701	TCGA-B0-5709	TCGA-B0-5706	TCGA-A3-3358	TCGA-CZ-5470	TCGA-B0-5705	TCGA-CW-5581	TCGA-B8-4622	TCGA-B8-5549	TCGA-CZ-5457	TCGA-CW-5584	TCGA-CZ-5454	TCGA-B0-5690	TCGA-CZ-5458	TCGA-CJ-6030	TCGA-CZ-5456	TCGA-B0-5402	TCGA-B0-5703	TCGA-CZ-5987	TCGA-CZ-5466	TCGA-CJ-6033	TCGA-CZ-5461	TCGA-B2-5636
METTL21B	25895	237.86	155.5	309.83	629.35	426.57	309.83	267.73	371.22	175.07	267.73	155.5	173.85	211.31	283.05	107.38	157.68	182.55	140.04	256.78	187.71	104.42	285.03	314.17	346.29	275.28	136.19	325.29	156.59	124.37	166.73	460.44	251.48	176.29	164.42	260.38	186.4	158.79	269.6	69.03	177.53	297.17	232.94	289.02	117.6	301.33	231.32	249.73	132.44	414.87	190.34	191.67	255.0	191.67	154.42	155.5	163.28	136.19	214.27	98.73	429.54	115.16	177.53	199.85	221.86	262.2	109.66	134.3	368.65
VSTM2B	342865	0.0	0.0	0.38	0.0	0.91	0.38	2.48	2.53	0.77	1.62	0.35	0.0	0.0	0.52	0.0	0.0	0.79	0.0	0.0	0.0	0.34	0.85	0.91	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	1.17	0.0	0.0	0.0	0.37	0.0	0.0	0.41	0.0	0.0	0.39	2.43	0.75	1.13	0.4	0.35	0.0	2.78	0.0	0.73	0.0	0.0	0.0	1.2	0.35	0.0	0.0	2.03	1.06	0.74	0.0	0.0	0.0	2.01
TXNDC16	57544	92.05	199.85	171.45	82.29	108.14	128.79	119.26	120.94	133.36	135.24	129.69	212.78	122.64	108.14	150.17	140.04	144.01	92.7	120.94	181.28	107.38	102.97	112.77	117.6	107.38	156.59	135.24	167.9	125.24	159.9	89.51	127.0	211.31	191.67	120.94	166.73	108.14	78.34	106.63	206.94	125.24	182.55	134.3	217.27	92.7	165.57	111.21	153.34	102.25	171.45	165.57	92.05	148.09	242.88	107.38	81.71	170.25	170.25	217.27	115.16	124.37	92.7	138.1	109.66	118.43	98.04	166.73	124.37
ZBTB49	166793	87.65	69.03	25.35	35.76	40.07	68.55	84.63	68.07	60.39	64.8	54.72	46.84	104.42	48.87	25.35	67.12	98.73	53.95	52.08	54.72	50.63	33.3	59.55	41.22	42.11	41.22	67.12	37.05	29.27	90.14	34.75	56.28	50.98	49.91	47.5	51.71	87.65	43.94	30.34	54.72	34.02	60.39	36.27	80.57	46.5	65.26	73.03	71.0	43.32	40.64	49.91	40.36	56.68	57.08	31.9	44.89	71.5	48.18	50.98	43.32	35.0	46.5	72.52	59.13	42.71	39.5	55.89	59.55
SYT1	6857	27.05	138.1	0.73	12.83	27.25	17.25	23.76	33.78	26.28	29.48	30.34	90.14	24.63	30.56	92.7	26.67	21.47	20.86	30.78	25.17	11.55	24.28	40.93	13.93	13.52	332.14	24.46	31.67	211.31	53.57	13.32	27.44	137.14	58.3	35.5	59.97	22.75	22.43	22.43	71.0	19.11	48.52	29.48	264.03	12.27	88.26	27.64	34.75	25.54	93.35	100.83	26.67	24.63	101.54	63.89	12.93	24.11	50.27	60.39	10.79	57.08	27.05	25.35	68.55	13.12	16.03	23.25	25.54
OPCML	4978	17.9	27.25	2.14	48.87	45.21	16.88	13.03	22.43	54.72	32.36	55.1	29.91	8.65	21.32	24.46	15.91	21.78	10.71	22.43	56.68	23.59	29.7	123.5	33.3	26.67	31.22	63.89	24.11	5.96	70.01	38.95	62.12	34.75	36.27	43.32	30.12	26.47	57.89	29.91	41.52	54.33	57.49	61.68	4.5	19.53	25.72	36.79	37.05	45.53	126.12	59.55	68.55	11.13	32.13	12.45	6.89	42.71	68.07	35.76	17.9	23.08	9.7	29.91	28.65	8.38	28.24	15.11	29.48
ZNF781	163115	43.63	37.85	33.3	69.52	38.67	93.35	37.59	111.99	43.02	47.84	38.4	56.28	55.1	40.36	24.63	83.45	81.14	73.54	62.56	71.5	25.35	29.91	59.13	33.78	18.84	33.54	29.91	28.24	25.54	63.89	45.21	38.12	11.82	56.68	31.0	31.67	44.25	49.91	11.21	17.9	54.33	85.82	30.12	21.01	14.45	45.53	52.08	92.05	88.26	39.5	40.93	34.02	105.89	37.85	12.93	19.82	48.52	31.45	31.0	53.95	37.85	85.82	88.26	27.25	44.57	42.11	60.82	48.18
DPP9	91039	525.39	289.02	842.36	275.28	293.07	318.57	343.89	379.04	366.09	299.25	289.02	341.51	366.09	307.69	183.82	339.14	371.22	361.04	283.05	346.29	293.07	297.17	287.01	297.17	314.17	271.48	305.55	185.11	221.86	368.65	264.03	303.44	279.14	325.29	332.14	384.34	432.53	269.6	325.29	384.34	307.69	309.83	332.14	281.09	358.54	423.61	301.33	341.51	251.48	244.57	356.05	329.84	182.55	320.8	260.38	389.72	363.56	323.03	287.01	283.05	341.51	334.46	277.2	339.14	182.55	414.87	253.23	341.51
TEX2	55852	379.04	684.02	299.25	503.95	567.1	414.87	414.87	463.65	579.04	591.22	406.31	595.34	397.93	444.72	514.56	403.5	406.31	620.67	450.94	543.96	373.81	555.41	599.49	466.88	450.94	660.68	503.95	583.07	633.73	551.56	406.31	612.11	629.35	518.15	490.14	684.02	490.14	525.39	429.54	713.11	540.19	571.05	450.94	435.55	532.74	547.75	438.59	373.81	486.75	624.99	571.05	579.04	429.54	612.11	476.71	392.44	450.94	607.87	595.34	460.44	429.54	403.5	346.29	497.0	426.57	426.57	591.22	536.45
MRGPRX2	117194	0.0	0.34	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.35	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.39
