Hugo_Symbol	Entrez_Gene_Id	TCGA-CJ-5680	TCGA-CZ-5453	TCGA-CW-5591	TCGA-A3-3387	TCGA-CZ-5982	TCGA-CJ-5679	TCGA-CZ-5984	TCGA-CJ-5681	TCGA-CJ-5672	TCGA-B0-5691	TCGA-CZ-5468	TCGA-CZ-5452	TCGA-B0-5694	TCGA-B0-4700	TCGA-CZ-5455	TCGA-B8-4620	TCGA-B0-5712	TCGA-CW-6087	TCGA-B0-5697	TCGA-B0-5711	TCGA-B0-4712	TCGA-CZ-4864	TCGA-CZ-5985	TCGA-CZ-5451	TCGA-CW-5585	TCGA-CZ-4865	TCGA-CZ-5988	TCGA-CZ-5462	TCGA-CZ-4863	TCGA-CW-5580	TCGA-B8-4619	TCGA-CW-6090	TCGA-CZ-5465	TCGA-CZ-5463	TCGA-B0-5696	TCGA-B2-5641	TCGA-CJ-5689	TCGA-CW-5587	TCGA-CZ-5467	TCGA-CW-6088	TCGA-CW-5589	TCGA-CZ-5986	TCGA-B0-5699	TCGA-B8-5552	TCGA-CJ-5677	TCGA-B0-5701	TCGA-B0-5709	TCGA-B0-5706	TCGA-A3-3358	TCGA-CZ-5470	TCGA-B0-5705	TCGA-CW-5581	TCGA-B8-4622	TCGA-B8-5549	TCGA-CZ-5457	TCGA-CW-5584	TCGA-CZ-5454	TCGA-B0-5690	TCGA-CZ-5458	TCGA-CJ-6030	TCGA-CZ-5456	TCGA-B0-5402	TCGA-B0-5703	TCGA-CZ-5987	TCGA-CZ-5466	TCGA-CJ-6033	TCGA-CZ-5461	TCGA-B2-5636
METTL21B	25895	234.57	299.25	171.45	285.03	265.87	463.65	348.71	195.72	115.16	348.71	149.12	100.13	293.07	228.13	281.09	480.04	150.17	110.43	211.31	255.0	122.64	295.11	379.04	275.28	325.29	177.53	279.14	244.57	172.65	329.84	244.57	301.33	332.14	423.61	295.11	316.37	220.32	249.73	289.02	305.55	392.44	417.77	211.31	241.19	139.07	256.78	111.99	441.64	483.38	167.9	209.84	209.84	503.95	353.59	251.48	232.94	480.04	277.2	231.32	244.57	551.56	493.56	361.04	400.71	444.72	141.02	320.8	358.54
VSTM2B	342865	0.0	0.0	0.0	0.73	0.0	0.0	0.39	334.46	0.0	0.0	0.72	0.0	0.0	0.39	0.0	0.0	0.0	0.71	0.0	0.0	0.77	0.35	0.73	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.39	0.0	0.0	0.4	3.0	0.0	0.0
TXNDC16	57544	57.89	182.55	122.64	100.13	189.02	69.52	133.36	129.69	50.63	221.86	48.52	39.5	137.14	57.08	171.45	202.66	105.89	38.4	73.03	190.34	37.05	125.24	102.97	165.57	173.85	155.5	223.41	73.54	78.34	224.97	63.89	131.51	271.48	202.66	102.25	98.04	112.77	87.65	100.13	262.2	153.34	241.19	153.34	191.67	55.1	90.14	102.25	161.02	130.6	64.8	163.28	110.43	202.66	231.32	177.53	124.37	244.57	153.34	181.28	153.34	103.69	212.78	157.68	48.18	97.36	78.34	255.0	199.85
ZBTB49	166793	39.5	77.79	35.25	59.55	94.67	23.42	59.13	56.68	53.95	69.03	35.76	52.08	41.52	54.33	50.63	73.03	55.89	49.56	54.33	68.07	27.64	59.55	53.19	42.11	68.07	60.39	82.87	58.3	59.55	88.26	90.77	58.71	58.71	64.34	42.71	45.85	53.19	46.84	98.04	73.54	56.28	55.1	53.95	85.82	38.95	65.26	84.04	35.5	77.79	44.25	46.5	45.21	62.12	35.0	49.21	40.93	51.35	70.51	53.19	45.21	46.84	70.51	64.34	51.35	60.82	41.22	61.68	65.72
SYT1	6857	3.0	0.36	7.63	3.14	0.33	1.62	1.11	29.06	2.63	23.25	0.69	0.68	1.57	0.75	1.01	13.93	0.67	181.28	4.21	3.53	1.1	3.32	1.39	1.03	2.23	3.08	2.51	2.01	2.97	4.9	23.76	2.23	2.12	2.32	3.99	1.89	11.47	1.35	2.07	16.03	3.14	4.1	1.68	6.01	7.0	0.71	7.75	2.36	7.69	2.51	36.01	4.13	4.78	1.89	4.98	1.01	1.45	1.41	2.51	8.19	2.51	1.83	0.39	0.0	3.06	0.36	1.06	17.38
OPCML	4978	5.87	141.02	18.29	13.32	277.2	373.81	45.53	3.08	1.11	159.9	13.83	0.0	28.86	21.63	0.99	1225.22	1.99	0.66	1.38	46.18	2.51	1.62	1.38	25.54	511.0	1.69	172.65	0.66	2.61	21.16	7.94	4.7	34.51	153.34	46.5	1.11	23.25	332.14	21.94	69.03	65.72	6.36	82.29	13.83	2.18	19.11	5.19	10.63	10.08	3.5	15.34	325.29	49.21	29.7	283.05	5.28	105.89	113.56	10.79	4.21	4.58	316.37	301.33	1.48	4.9	2.14	104.42	119.26
ZNF781	163115	26.28	43.94	59.13	79.45	57.08	12.74	18.03	18.7	21.32	38.12	23.08	28.45	62.12	53.57	127.89	83.45	8.25	27.05	41.81	74.58	57.89	59.55	5.73	92.7	7.82	21.63	25.91	6.52	35.76	77.79	53.19	35.76	29.7	14.78	79.45	18.03	29.06	50.27	23.08	69.03	96.01	115.16	9.85	46.5	20.56	29.91	72.01	69.52	68.55	47.17	59.13	37.59	85.22	56.28	43.32	23.25	25.91	32.36	32.82	23.59	14.24	48.87	20.41	3.47	49.21	22.43	22.92	79.45
DPP9	91039	1277.29	638.15	373.81	1096.5	1340.84	651.58	1397.83	327.56	1059.11	447.82	718.08	1447.15	808.0	1397.83	961.07	669.92	665.29	1073.91	1259.69	759.08	780.44	1487.87	1417.35	902.89	518.15	466.88	674.59	1044.52	1233.75	854.13	420.68	629.35	785.88	575.03	909.17	1119.56	967.76	656.11	571.05	909.17	420.68	708.18	928.3	571.05	693.58	860.08	1216.75	713.11	854.13	813.63	791.35	480.04	808.0	532.74	429.54	866.07	547.75	785.88	387.02	941.27	1088.92	753.83	743.43	1674.06	830.75	759.08	703.28	540.19
TEX2	55852	384.34	454.09	412.0	301.33	444.72	1135.2	633.73	72.01	620.67	638.15	753.83	454.09	260.38	414.87	406.31	295.11	248.0	285.03	563.18	271.48	251.48	1250.98	688.78	303.44	307.69	366.09	669.92	555.41	1119.56	529.06	547.75	289.02	197.09	785.88	267.73	518.15	607.87	796.86	291.04	325.29	403.5	974.5	199.85	435.55	525.39	878.17	753.83	733.19	281.09	221.86	414.87	414.87	351.14	733.19	543.96	435.55	371.22	241.19	373.81	409.15	318.57	389.72	376.41	397.93	262.2	329.84	363.56	718.08
MRGPRX2	117194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.36
